"Received" "Accepted" "Published" "Public" "Citation" "Editor" "Subject"
"1" "2012-11-13" "2012-11-21" "2013-02-12" 1 "0" "Walterde AzevedoJr" "Biochemistry,Bioinformatics,Biophysics,Computational Biology"
"2" "2012-11-13" "2012-12-01" "2013-02-12" 1 "2" "EmanuelePaci" "Biochemistry,Bioinformatics,Biophysics,Computational Biology,Molecular Biology"
"3" "2012-11-13" "2012-12-03" "2013-02-12" 1 "2" "MarkMattson" "Neuroscience"
"4" "2012-11-13" "2012-12-04" "2013-02-19" 1 "2" "DeeCarter" "Microbiology,Molecular Biology,Mycology"
"5" "2012-11-14" "2012-12-05" "2013-02-12" 1 "3" "AnnalisaPastore" "Biochemistry,Biophysics"
"6" "2012-11-13" "2012-12-08" "2013-02-12" 0 "0" "ZhihongXu" "Soil Science"
"7" "2012-11-12" "2012-12-15" "2013-02-12" 0 "2" "MariaDeli" "Cell Biology,Molecular Biology,Neuroscience"
"8" "2012-11-13" "2012-12-23" "2013-02-12" 1 "8" "JenniferWagner" "Genetics,Genomics,Medical Genetics,Ethical Issues"
"9" "2012-11-27" "2012-12-30" "2013-02-12" 0 "7" "JafriAbdullah" "Neuroscience"
"10" "2012-11-13" "2012-12-31" "2013-02-12" 0 "1" "AlfonsoValencia" "Bioinformatics,Computational Biology,Mathematical Biology,Statistics"
"11" "2012-11-12" "2012-12-31" "2013-02-12" 1 "5" "DezeneHuber" "Biodiversity,Ecology,Entomology,Zoology"
"12" "2012-11-26" "2013-01-02" "2013-02-12" 0 "2" "RobertDeschenes" "Biochemistry,Cell Biology"
"13" "2012-11-13" "2013-01-02" "2013-02-12" 0 "4" "JasonNoble" "Animal Behavior,Zoology"
"14" "2012-11-20" "2013-01-03" "2013-02-12" 0 "6" "DavidReser" "Neuroscience"
"15" "2012-12-03" "2013-01-03" "2013-02-12" 1 "1" "JuroGregan" "Cell Biology,Genetics,Molecular Biology"
"16" "2012-11-30" "2013-01-04" "2013-02-12" 1 "8" "FrancesSeparovic" "Biophysics,Computational Biology"
"17" "2012-11-20" "2013-01-04" "2013-02-12" 0 "1" "DanyGarant" "Animal Behavior,Ecology,Evolutionary Studies"
"18" "2012-11-14" "2013-01-04" "2013-02-19" 1 "1" "EliPerencevich" "Veterinary Medicine,Epidemiology"
