"birdspp" "area" "isolation" "plants" "habitats" "Pe" "PAR" "SI" "elev"
"1" 43 1289.23 897.41 36 3 105964.7686 82.19229 832.4723 298.5
"2" 34 143.19 1415.09 50 6 17464.9831 121.9707 411.7433 251.1
"3" 35 109.03 964.97 88 3 12022.2003 110.26507 324.7969 226.9
"4" 32 55.08 953.95 86 3 7569.6441 137.42999 287.7235 198
"5" 31 46.37 729.8 65 3 10444.3768 225.23996 432.6807 174
"6" 27 35.64 2110.41 68 3 7318.3728 205.3416 345.8136 175.2
"7" 30 32.29 1936.95 45 3 5891.5018 182.45592 292.4811 196.7
"8" 33 5.69 21.85 49 7 1489.0858 261.7022 176.1085 109
"9" 24 3.42 583 45 4 1164.0401 340.36259 177.5585 131.1
"10" 24 2.9 1785.3 31 4 1241.7205 428.17949 205.6961 126.3
"11" 30 2.83 1238.14 100 3 900.8172 318.30996 151.0635 125.5
"12" 29 2.29 973.85 68 3 956.9893 417.89926 178.395 130.5
"13" 26 2.23 3261.96 56 4 1341.0224 601.35534 253.3318 113.5
"14" 23 2 1042.38 36 2 794.5238 397.26191 158.4913 126
"15" 24 1.93 888.05 56 3 658.0149 340.94035 133.62 125.3
"16" 26 1.74 2293.25 80 3 604.3852 347.34779 129.2567 126.2
"17" 28 1.54 711.04 29 4 706.2847 458.62641 160.5491 125.5
"18" 24 1.52 849.88 55 3 604.3504 397.599 138.2827 123.5
"19" 23 1.52 2849.99 39 4 715.7862 470.91194 163.7761 126.6
"20" 23 1.4 1760.34 49 5 722.5082 516.07727 172.2591 115.9
"21" 27 1.26 54.86 85 3 427.3114 339.1361 107.3828 138.5
"22" 26 1.2 657.72 53 3 505.729 421.44082 130.2297 125.1
"23" 25 1.2 2128.52 50 3 551.9353 459.94607 142.1382 116.7
"24" 22 1.17 2453.37 42 3 608.5181 520.10096 158.6975 116.6
"25" 23 1.15 847.12 53 3 503.0566 437.44052 132.3302 121
"26" 18 1.03 1458.81 40 3 488.1191 473.90207 135.6801 115.6
"27" 20 1.01 2437.85 50 3 667.929 661.31584 187.4852 116.7
"28" 27 1.01 2103.85 69 5 492.2143 487.34092 138.1583 124
"29" 29 0.97 938.85 50 5 486.7272 501.78064 139.4073 120.1
"30" 21 0.96 3133.96 33 3 595.3203 620.1253 171.4 115
"31" 23 0.91 1339.71 198 3 412.1105 452.86873 121.8633 122.2
"32" 25 0.86 2321.51 99 3 428.6627 498.445 130.3991 119.5
"33" 22 0.83 2298.5 57 3 432.4952 521.07852 133.9143 123
"34" 20 0.83 1098.58 86 4 397.6094 479.04748 123.1127 120.7
"35" 23 0.8 102.6 70 3 487.9542 609.9427 153.8995 114
"36" 29 0.8 2097.52 65 5 450.65 563.3125 142.1382 117.8
"37" 23 0.73 1320.4 74 3 526.9358 721.82989 173.973 106.7
"38" 18 0.67 1139.87 69 3 419.6842 626.39428 144.6331 109.8
"39" 25 0.59 640.53 59 6 313.8599 531.96593 115.2726 113
"40" 26 0.59 1018.42 51 3 407.6879 690.99651 149.725 110
