Area Isolation Latitude Longitude
1 1289.23 897.41 29.5198441 118.8738521
2 143.19 1415.09 29.5083755 118.8192517
3 109.03 964.97 29.5194029 118.9210899
4 55.08 953.95 29.5309786 118.940131
5 46.37 729.8 29.4944547 118.8941868
6 35.64 2110.41 29.5146956 118.8493005
7 32.29 1936.95 29.535213 118.937172
8 5.69 21.85 29.4958443 118.9283955
9 3.42 583 29.6187791 118.9675625
10 2.9 1785.3 29.5005302 118.885831
11 2.83 1238.14 29.4985794 118.9038655
12 2.29 973.85 29.4960459 118.9062448
13 2.23 3261.96 29.5495334 118.9104713
14 2 1042.38 29.5675923 118.8950337
15 1.93 888.05 29.6125148 118.9501083
16 1.74 2293.25 29.5034818 118.8919639
17 1.54 711.04 29.4953794 118.9092903
18 1.52 849.88 29.5077984 118.8234678
19 1.4 1760.34 29.5207236 118.8274283
20 1.26 54.86 29.4821651 118.9154146
21 1.2024 657.72 29.4901261 118.9004213
22 1.202 2128.52 29.5031302 118.8903823
23 1.17 2453.37 29.5053228 118.8940793
24 1.15 847.12 29.5798774 118.911988
25 1.03 1458.81 29.5768802 118.9273589
26 1.01 2103.85 29.5292921 118.9226569
27 0.96 3133.96 29.5518927 118.9072679
28 0.91 1339.71 29.6142261 118.9619445
29 0.86 2321.51 29.5300309 118.9216815
30 0.8329 2298.5 29.5151533 118.8225346
31 0.8266 1098.58 29.6134167 118.9535898
32 0.8 2097.52 29.5297548 118.9245394
33 0.73 1320.4 29.5661662 118.8955183
34 0.67 1139.87 29.5773853 118.9160679
35 0.59087 640.53 29.5778227 118.9095006
36 0.59086 1018.42 29.4951983 118.9052393
37 0.57 3712.31 29.5478342 118.9118958
