Mass Carnivorous Granivorous Insectivorous Nectivorous Omnivorous Air Canopy Ground Midstory Understory Glean Leap Probe Sally
Abroscopus_albogularis 5.7 0 0 1 0 0 0 0 0 0 1 1 0 0 0
Accipiter_soloensis 117.5 1 0 0 0 0 1 0 0 0 0 0 0 0 1
Accipiter_virgatus 182.5 1 0 0 0 0 0 1 0 0 0 0 0 0 1
Aegithalos_concinnus 6.3 0 0 1 0 0 0 1 0 0 0 1 0 0 0
Aethopyga_christinae 6.5 0 0 0 1 0 0 1 0 0 0 1 0 0 0
Alcippe_morrisonia 17 0 0 0 0 1 0 0 0 0 1 1 0 0 0
Bambusicola_thoracicus 277.3 0 0 0 0 1 0 0 1 0 0 0 1 0 0
Bradypterus_luteoventris 12.8 0 0 1 0 0 0 0 0 0 1 1 0 0 0
Carduelis_sinica 18.3 0 1 0 0 0 0 0 0 0 1 1 0 0 0
Cettia_fortipes 10.3 0 0 1 0 0 0 0 0 1 0 1 0 0 0
Chloropsis_hardwickii 31 0 0 0 0 1 0 1 0 0 0 1 0 0 0
Cisticola_juncidis 8.5 0 0 1 0 0 0 0 0 0 1 1 0 0 0
Dendrocitta_formosae 97.5 0 0 0 0 1 0 1 0 0 0 1 0 0 0
Dendrocopos_canicapillus 26.8 0 0 1 0 0 0 0 0 1 0 0 0 1 0
Dendrocopos_major 69.1 0 0 1 0 0 0 0 0 1 0 0 0 1 0
Emberiza_cioides 23.9 0 1 0 0 0 0 0 0 0 1 1 0 0 0
Enicurus_leschenaulti 45.8 0 0 1 0 0 0 0 1 0 0 0 1 0 0
Falco_tinnunculus 232 1 0 0 0 0 1 0 0 0 0 0 0 0 1
Garrulax_canorus 60.5 0 0 0 0 1 0 0 0 0 1 1 0 0 0
Garrulax_cineraceus 50.3 0 0 0 0 1 0 0 0 0 1 1 0 0 0
Garrulax_monileger 82 0 0 0 0 1 0 0 1 0 0 1 0 0 0
Garrulax_pectoralis 146.8 0 0 0 0 1 0 0 0 0 1 1 0 0 0
Garrulax_perspicillatus 118 0 0 0 0 1 0 0 0 0 1 1 0 0 0
Garrulax_sannio 66.5 0 0 0 0 1 0 0 0 0 1 1 0 0 0
Garrulus_glandarius 155 0 0 0 0 1 0 1 0 0 0 1 0 0 0
Hemixos_castanonotus 39 0 0 0 0 1 0 1 0 0 0 1 0 0 0
Hypsipetes_leucocephalus 53.8 0 0 0 0 1 0 1 0 0 0 1 0 0 0
Hypsipetes_mcclellandii 39 0 0 0 0 1 0 1 0 0 0 1 0 0 0
Lanius_schach 67.8 0 0 1 0 0 0 0 0 1 0 0 0 0 1
Leiothrix_lutea 22.5 0 0 0 0 1 0 0 0 0 1 1 0 0 0
Lonchura_punctulata 14.3 0 1 0 0 0 0 0 0 0 1 1 0 0 0
Lonchura_striata 12 0 1 0 0 0 0 0 0 0 1 1 0 0 0
Lophura_nycthemera 1491.3 0 0 0 0 1 0 0 1 0 0 0 1 0 0
Megalaima_virens 187.5 0 0 0 0 1 0 0 0 0 1 1 0 0 0
Melophus_lathami 25.5 0 1 0 0 0 0 0 1 0 0 1 0 0 0
Milvus_migrans 1056.3 1 0 0 0 0 1 0 0 0 0 0 0 0 1
Motacilla_alba 22.8 0 0 1 0 0 0 0 1 0 0 0 1 0 0
Paradoxornis_gularis 28 0 0 0 0 1 0 0 0 0 1 1 0 0 0
Paradoxornis_webbianus 11.3 0 0 0 0 1 0 0 0 0 1 1 0 0 0
Parus_major 14.3 0 0 1 0 0 0 1 0 0 0 1 0 0 0
Parus_venustulus 11.3 0 0 1 0 0 0 1 0 0 0 1 0 0 0
Passer_montanus 20.2 0 1 0 0 0 0 0 0 0 1 1 0 0 0
Passer_rutilans 20.3 0 0 0 0 1 0 1 0 0 0 1 0 0 0
Pericrocotus_solaris 16.5 0 0 1 0 0 0 0 0 1 0 1 0 0 0
Phasianus_colchicus 1196 0 0 0 0 1 0 0 1 0 0 0 1 0 0
Pica_pica 221.5 0 0 0 0 1 0 0 1 0 0 1 0 0 0
Picumnus_innominatus 13.5 0 0 1 0 0 0 0 0 1 0 0 0 1 0
Pomatorhinus_erythrogenys 61.3 0 0 0 0 1 0 0 1 0 0 0 1 0 0
Pomatorhinus_ruficollis 26 0 0 0 0 1 0 0 1 0 0 0 1 0 0
Prinia_inornata 9 0 0 1 0 0 0 0 0 0 1 1 0 0 0
Pycnonotus_sinensis 34 0 0 0 0 1 0 1 0 0 0 1 0 0 0
Pycnonotus_xanthorrhous 34.3 0 0 0 0 1 0 1 0 0 0 1 0 0 0
Rhyacornis_fuliginosa 21 0 0 1 0 0 0 0 1 0 0 0 1 0 0
Spizixos_semitorques 42.3 0 0 0 0 1 0 1 0 0 0 1 0 0 0
Stachyris_ruficeps 9.8 0 0 1 0 0 0 0 0 0 1 1 0 0 0
Stigmatopelia_chinensis 161.3 0 0 0 0 1 0 0 1 0 0 0 1 0 0
Streptopelia_orientalis 242.5 0 0 0 0 1 0 0 1 0 0 0 1 0 0
Sturnus_nigricollis 159.8 0 0 1 0 0 0 0 1 0 0 1 0 0 0
Sturnus_sericeus 75 0 0 0 0 1 0 1 0 0 0 1 0 0 0
Turdus_merula 96.5 0 0 0 0 1 0 0 1 0 0 0 1 0 0
Urocissa_erythrorhyncha 176.8 0 0 0 0 1 0 1 0 0 0 1 0 0 0
Yuhina_castaniceps 12.8 0 0 0 0 1 0 0 0 1 0 1 0 0 0
Zosterops_japonicus 11 0 0 1 0 0 0 1 0 0 0 1 0 0 0
