"a" "dm" "AA" "AP" "PA" "PP"
"1" 1289.23 897.41 278 28 28 131
"2" 143.19 1415.09 323 29 24 89
"3" 109.03 964.97 328 28 24 85
"4" 55.08 953.95 339 27 22 77
"5" 46.37 729.8 336 27 20 82
"6" 35.64 2110.41 363 21 16 65
"7" 32.29 1936.95 352 23 17 73
"8" 5.69 21.85 362 22 23 58
"9" 3.42 583 380 16 18 51
"10" 2.9 1785.3 394 15 15 41
"11" 2.83 1238.14 378 24 19 44
"12" 2.29 973.85 374 19 19 53
"13" 2.23 3261.96 395 20 19 31
"14" 2 1042.38 380 19 22 44
"15" 1.93 888.05 371 24 24 46
"16" 1.74 2293.25 397 21 17 30
"17" 1.54 711.04 387 18 20 40
"18" 1.52 849.88 371 21 22 51
"19" 1.4 1760.34 388 19 20 38
"20" 1.26 54.86 360 26 19 60
"21" 1.2 657.72 380 19 18 48
"22" 1.2 2128.52 395 18 20 32
"23" 1.17 2453.37 409 16 13 27
"24" 1.15 847.12 383 20 23 39
"25" 1.03 1458.81 411 13 16 25
"26" 1.01 2103.85 368 26 22 49
"27" 0.96 3133.96 407 16 15 27
"28" 0.91 1339.71 389 17 21 38
"29" 0.86 2321.51 379 20 23 43
"30" 0.83 2298.5 388 19 16 42
"31" 0.83 1098.58 394 17 20 34
"32" 0.8 2097.52 368 27 23 47
"33" 0.73 1320.4 385 22 19 39
"34" 0.67 1139.87 414 14 11 26
"35" 0.59 640.53 381 20 25 39
"36" 0.59 1018.42 389 20 21 35
"37" 0.57 3712.31 404 18 19 24
